sort,no,rus,eng,sem,opt,n/v,СС_no,def_RU,def_EN,cx_RU,cx_EN,KK,Jena200,GLD110,status,lexnotes
164,164,ЖЕРЕБЁНОК,FOAL,3,,n,1647,"Детёныш лошади, ещё не отлучённый от груди. (Concepticon)","A juvenile horse, especially one which is not yet weaned. (Concepticon)",Вчера наша кобыла родила жеребёнка.,Our mare gave birth to a foal yesterday.,131,0,0,final,
165,165,ОСЕЛ,DONKEY,3,,n,1862,Домашнее животное вида <i>Equus asinus</i>.,"A domesticated animal, Equus asinus. (Concepticon)",1. Раньше поклажу возили на ослах. 2. Осёл меньше лошади.,1. They used to transport burden on donkeys in the old times. 2. A donkey is smaller than a horse.,132,0,0,final,
166,166,ОСЛЁНОК,FOAL OF DONKEY,3,,n,0,"Детёныш осла. Если для молодых ослов есть несколько терминов, используется термин для новорождённого.","A juvenile donkey. If there are several words for different kinds of foals, use the one that refers to a newborn.",Вчера наша ослица родила ослёнка.,Our donkey gave birth to a foal yesterday.,133,0,0,final,
167,167,МУЛ,MULE,3,,n,890,Гибрид осла мужского пола и лошади женского пола. (Concepticon),The offspring of a male donkey and a female horse. (Concepticon),Мул рождается от осла и кобылы.,A mule is born of a donkey and a mare.,134,0,0,final,
168,168,ПЕТУХ,ROOSTER,3,,n,1511,"Курица (<i>Gallus gallus domesticus</i>) мужского пола, домашняя птица. (Concepticon)","A male chicken (Gallus gallus domesticus), a domestic bird. (Concepticon)",1. Утром петухи поют. 2. Один петух живёт с несколькими курами.,1. Roosters crow in the morning. 2. One rooster lives with several hens.,144,0,0,final,
169,169,КУРИЦА,HEN,3,,n,1318,Взрослая курица женского пола.,Adult female chicken.,Куры несут яйца.,Hens lay eggs.,143,0,0,final,
170,170,ЦЫПЛЁНОК,CHICK,3,,n,2513,"Молодая особь курица, не достигшая зрелости. (Concepticon)",A young chicken that has not yet reached adulthood. (Concepticon),1. Вчера у нас вылупилось три цыплёнка. 2. Цыплята вылупляются из яиц.,1. Three chicks were born of eggs yesterday. 2. Chicks are born out of eggs.,0,0,0,final,
171,171,ГУСЬ,GOOSE,3,,n,1187,Водоплавающая птица (<i>Anser</i>) семейства утиных (<i>Anatidae</i>). (Concepticon),Waterfowl (<i>Anser</i>) of the Anatidae family. (Concepticon),1. Гуси любят ровное место. 2. Этот гусь любит щипаться.,This goose likes to pinch.,0,0,0,final,
172,172,УТКА,DUCK,3,,n,1360,Водоплавающая птица семейства утиных с плоским клювом и перепончатыми лапами. (Concepticon) При наличии двух разных слов выбирать слово для домашней утки.,"An aquatic bird of the family Anatidae, having a flat bill and webbed feet. (Concepticon) If two words are present, select the one for a domestic duck.",Утки водятся на больших реках и озёрах.,Ducks are found in large rivers and lakes.,0,0,0,check,
173,173,ГНЕЗДО,NEST,3,,n,539,"Структура, которую строят птицы на деревьях, в которой они живут и откладывают яйца.","A structure which is built by birds on trees, in which they live and lay eggs.",1. Птицы откладывают яйца в своих гнёздах. 2. Я видел на кустарнике гнездо воробья.,1. Birds lay eggs in their nests. 2. I saw a sparrow’s nest in the bushes.,169,0,0,final,
174,174,ПТИЦА,BIRD,3,,n,937,"Самое общее слово для представителя класса птиц (<i>Aves</i>). Когда это возможно, избегать специальных слов для больших, маленьких или хищных птиц. Избегать специальных слов для домашних птиц (ср. англ. <i>fowl</i>).","Most generic term for a member of the class Aves. Avoid specific terms for a small, large or predatory bird where possible. Avoid terms for domesticated birds, i.e. “fowl”.",1. В лесу поют птицы. 2. Птицы откладывают яйца. ,1. Birds are singing in the forest. 2. Birds lay eggs.,168,12,6,final,
175,175,ЦАПЛЯ,HERON,3,,n,758,"Длинноногая, длинношеея болотная птица семейства цаплевых (<i>Ardeidae</i>). (Concepticon)","A long-legged, long-necked wading bird of the family Ardeidae. (Concepticon)",1. Цапли живут на болотах. 2. У цапли длинные ноги.,1. Herons live in swamps. 2. A heron has long legs.,162,0,0,final,
176,176,ОРЕЛ,EAGLE,3,,n,1905,"Наиболее типичный для данного ареала представитель рода орлов (<i>Aquila</i>). В кавказском контексте это, вероятнее всего, беркут (<i>Aquila chrysaetos</i>).",The most typical representative of the genus of true eagles (Aquila). In the Caucasus this is most typically the golden eagle (Aquila chrysaetos). ,1. Орёл большой и высоко летает. 2. Под той скалой находится орлиное гнездо.,1. An eagle is a large bird that flies high above. 2. There’s an eagle’s nest under that cliff.,157,0,0,check,
177,177,ЯСТРЕБ,HAWK,3,opt,n,307,"Наиболее типичный для данного ареала представитель рода настоящих ястребов (<i>Accipiter</i>). В связи со сложностью идентификации лексема входит в необязательную часть списка и вводится только в случае, если консультант знаком с этой областью лексики.","A representative of the genus <i>Accipiter </i>that is most typical for the given area. Since identifying large birds of prey is often difficult, this word is included in the optional part of the list; it should only be entered if the consultant is sufficiently familiar with this semantic field.",Ястреб ловит кур.,The hawk hunts chicken.,157,0,0,final,
178,178,СОКОЛ,FALCON,3,opt,n,0,"Наиболее типичный для данного ареала представитель рода соколов (Falco). В связи со сложностью идентификации лексема входит в необязательную часть списка и вводится только в случае, если консультант знаком с этой областью лексики. ","A representative of the genus <i>Falco </i>that is most typical for the given area. Since identifying large birds of prey is often difficult, this word is included in the optional part of the list; it should only be entered if the consultant is sufficiently familiar with this semantic field.",Сокол охотится на мышей.,A falcon hunts mice.,157,0,0,final,
179,179,ЛЕТУЧАЯ МЫШЬ,BAT,3,,n,1793,"Ночное летающее млекопитающее, похожее на мышь с перепончатыми крыльями.",A nocturnal flying mammal that resembles a mouse with membranous wings.,1. Летучие мыши летают в темноте. 2. Летучая мышь — не птица.,1. Bats fly in the dark. 2. A bat is not a bird.,0,0,0,final,
180,180,ВОРОНА,CROW,3,,n,913,"Чёрная птица рода воронов (<i>Corvus</i>). Поскольку отличить ворону от других похожих чёрных птиц (например, воронов) бывает непросто, вводится имя наиболее типичного представителя этого рода.","A black bird of the crows genus (<i>Corvus</i>). Since distinguishing crows from other similar black birds (such as ravens) can be challenging, the name of the most typical representative of this genus should be entered.",1. Вороны громко каркают. 2. Ворона унесла сыр.,1. Crows croak loudly. 2. A crow took cheese away.,158,0,0,final,
181,181,СОРОКА,MAGPIE,3,,n,2039,Чёрно-белая птица из рода сорок (<i>Pica</i>).,A black and white bird of the genus <i>Pica</i>.,"У сороки белое брюхо, у вороны — чёрное.","A magpie has a white belly, while a crow has a black one.",160,0,0,final,
182,182,ГАЛКА,JACKDAW,3,opt,n,0,Маленькая птица семейства врановых (Coloeus monedula). Отличается от вороны прежде всего маленьким размером.,A small bird of the <i>Corvidae </i>family (<i>Coloeus monedula</i>). It is differentiated from the crow primarily by its smaller size.,Галка меньше вороны.,A jackdaw is smaller than a crow.,159,0,0,final,
183,183,ГОЛУБЬ,DOVE,3,,n,1853,"Птица семейства голубиных (<i>Columbidae</i>). (Concepticon) Когда возможно, выбирать слово для домашнего голубя (Columba livia domestica).","One of several birds of the family Columbidae.  (Concepticon) When possible, choose the word for the domestic dove (<i>Columba livia domestica</i>).",1. Голубь ест остатки пищи. 2. Голуби людей не боятся.,1. Doves eat food leftovers. 2. Doves are not afraid of people.,166,0,0,final,
184,184,ВОРОБЕЙ,SPARROW,3,,n,1854,Маленькая певчая птица из семейства воробьиных (<i>Passeridae</i>). (Concepticon),"A small song bird, in the family Passeridae. (Concepticon)","1. Воробей меньше голубя. 2. Воробьи поют, а голуби нет.","1. A sparrow is smaller than a dove. 2. Sparrows sing, doves do not.",0,0,0,final,
185,185,СОВА,OWL,3,,n,735,"Ночная хищная птица из семейства настоящих сов (Strigidae). Поскольку языковая номенклатура плохо соответствует научной, следует для значения ‘сова’ вводить птицу среднего размера, а для значения ‘филин’, — более крупного, если для неё есть отдельное слово.","A nocturnal bird of prey of the <i>Strigidae</i> family. Since linguistic terms do not correspond well to the scientific nomenclature, the convention is to enter a medium-sized bird under the meaning ‘owl’, and a larger bird for the meaning ‘eagle-owl’, if there is a separate term.",1. Сова охотится ночью. 2. Сова ловит мышей.,1. An owl hunts at night. 2. Owls catch mice.,163,0,0,final,
186,186,ФИЛИН,EAGLE-OWL,3,opt,n,0,"Ночная хищная птица из семейства настоящих сов (Strigidae). Поскольку языковая номенклатура плохо соответствует научной, следует для значения ‘сова’ вводить птицу среднего размера, а для значения ‘филин’, — более крупного, если для неё есть отдельное слово.","A nocturnal bird of prey of the <i>Strigidae</i> family. Since linguistic terms do not correspond well to the scientific nomenclature, the convention is to enter a medium-sized bird under the meaning ‘owl’, and a larger bird for the meaning ‘eagle-owl’, if there is a separate term.",,,0,0,0,final,
187,187,КУКУШКА,CUCKOO,3,,n,2934,Птица из семейства кукушковых (<i>Cuculidae</i>). Определяется прежде всего по характерному звуку.,A bird from the family Cuculidae. It is distinguished primarily by the characteristic sound it makes.,В лесу громко поёт кукушка.,A cuckoo is loudly singing in the wood.,161,0,0,final,
188,188,УЛАР,SNOWCOCK,3,,n,0,Горная индейка (Tetraogallus caucasicus).,Otherwise known in Russian as the mountain turkey (<i>Tetraogallus caucasicus</i>).,1. Улар живёт в горах. 2. Улар не умеет летать. 3. Улар больше курицы.,1. Snowcocks live in the mountains. 2. Snowcocks cannot fly. 3. A snowcock is larger than a chicken.,164,0,0,final,
189,189,КУРОПАТКА,PARTRIDGE,3,,n,0,"Птица из рода куропаток (Perdix), чаще всего Perdix perdix.","A bird from the genus of true partridges (<i>Perdix</i>), usually <i>Perdix perdix</i>. ",1. Куропатка меньше курицы. 2. Яйца куропатки бывают разноцветные.,1. A partridge is smaller than a chicken. 2. The eggs of partridges are multi-coloured.,165,0,0,final,
190,190,ЛАСТОЧКА,SWALLOW,3,,n,3077,Любая птица из семейства ласточковых (<i>Hirundinidae</i>). Характерный признак — разветвлённый хвост.,Any bird of the Hirundinidae family. Their most characteristic feature is a forked tail.,1. У ласточки хвост делится на две части. 2. Ласточка свила гнездо под крышей.,1. A swallow’s tail is divided in two. 2. A swallow has made a nest under our roof.,167,0,0,final,
191,191,СОБАКА,DOG,3,,n,2009,"Самое общее слово для представителя вида <i>canis familiaris</i>. Домашняя собака. Отличать от названий конкретных пород и специальных слов для собак определённого возраста или пола (‘щенок’, ‘сука’ и т.д.). (Kassian et al. 2010). Избегать названий охотничьих собак, напр. англ. <i>hound</i>. (CoBL) ","Most generic term for animal of species canis familiaris. Domesticated dog. Not to be confused with various breeds or specific words for dogs of different ages or sexes (‘puppy’, ‘bitch’ etc.). (Kassian et al. 2010). Also, avoid terms for hunting dog, e.g. Eng. “hound”. (CoBL)","1. Собака охраняет овец. 2. Собака живёт с человеком, а дикие звери — нет.","1. The dog guards the sheep. 2. Dogs live with people, wild animals do not.",139,31,17,final,
192,192,СУКА,FEMALE DOG,3,,n,2481,Взрослая собака женского пола.,"Adult female dog, bitch.",Сука родила щенят.,The female dog gave birth to puppies.,140,0,0,final,
193,193,ЩЕНОК,PUPPY OF DOG,3,,n,74,Детёныш собаки.,A juvenile dog.,Щенок играется с кошкой.,The puppy is playing with a cat.,141,0,0,final,
194,194,ЗАЯЦ,HARE,3,,n,1190,"Млекопитающее из семейства зайцевых (Leporidae), имеющее длинные уши, короткий хвост и задние лапы, которые короче передних и позволяют быстро бегать. (Concepticon) ","Mammal of the family hares and rabbits (Leporidae) with long ears, short tail and hindlegs which are shorter than the forelegs and permit running quickly. (Concepticon)",Заяц убежал от волка.,The hare ran away from the wolf.,152,0,0,final,
195,195,КОШКА,CAT,3,,n,1208,"Четвероногое животное (<i>Felis silvestris</i>), которое живёт вблизи жилища людей и ловит мышей.",A common four-legged animal (Felis silvestris) that lives close to people’s homes and catches mice.,"1. Кошка ловит мышей. 2. Кошку держат в доме, собаку — нет.","1. Cats catch mice. 2. Cats live in homes, dogs do not.",142,0,0,final,
196,196,МЫШЬ,MOUSE,3,,n,1491,"Грызун из семейства мышиных (Muridae), имеющее длинный хвост, закруглённые уши и острый нос. При наличии отдельного слова для ‘крысы’ использовать наименее маркированное обозначение маленькой мыши.","A rodent of the <i>Muridæ</i> family characterised by a long hairless tail, rounded ears, and a pointed nose. If a separate word for ‘rat’ is present in the language, use the least marked term for a small rodent.",1. Мыши съели весь хлеб. 2. Кошки ловят мышей.,1. Mice have eaten all the bread. 2. Cats catch mice.,155,0,0,final,
197,197,КРЫСА,RAT,3,opt,n,1490,Мышеподобный грызун крупного размера.,A larger mouse-like rodent.,,,0,0,0,final,
198,198,БАРСУК,BADGER,3,opt,n,0,Млекопитающее из рода барсуков (Meles) семейства куньих (Mustelidae).,A mammal belonging to the <i>Meles </i>genus of the <i>Mustelidae </i>family.,,,153,0,0,final,
199,199,КУНИЦА,MARTEN,3,,n,0,"Пушной зверь рода ласок и хорьков (Mustela). Используется наиболее нейтральный термин для пушного зверя-домашнего вредителя и объекта охоты, так как выделить отдельные виды едва ли возможно.","A furred animal of the <i>Mustela </i>genus. The most neutral term for a furred animal which is a household pest and an object of hunting should be chosen, as picking specific species is hardly possible.",1. Куница унесла курицу. 2. Из меха куницы можно сделать шубу.,1. The marten took away our hen. 2. You can make a coat out of a marten’s fur.,154,0,0,final,
200,200,БЕЛКА,SQUIRREL,3,,n,1628,Один из грызунов рода белок (Sciurus) семейства беличьих (Sciuridae).,A small or medium-sized rodent of the family Sciuridae. (Concepticon),1. Белка ест орехи. 2. Белки живут в лесу.,1. A squirrel is eating nuts. 2. Squirrels live in the forest.,154,0,0,final,
201,201,ЁЖ,HEDGEHOG,3,,n,1797,"Небольшое млекопитающее из подсемейства настоящих ежей (Erinaceinae), которое характеризуется колючей спиной и способностью сворачиваться в шар для защиты от нападения. (Concepticon)",Small mammal of the Erinaceinae subfamily characterized by its spiny back and by its habit of rolling itself into a ball when attacked. (Concepticon),1. Ёж колючий. 2. Ежи катятся при нападении.,1. A hedgehog is spiny. 2. Hedgehogs roll when attacked.,156,0,0,check,
202,202,РЫБА,FISH,3,,n,227,"Наиболее общее слово для живой рыбы (холоднокровное водное позвоночное с чешуёй, плавниками и жабрами). Избегать слов для уже пойманной, приготовленной или очищенной рыбы. Избегать специальных слов для речной или морской рыбы. (основано на CoBL)","Most generic noun for a live fish (cold-blooded aquatic vertebrate with scales, fins and gills). Avoid terms for caught, cooked or prepared fish. Avoid terms specifically for river fish or sea fish. (based on CoBL)","1. Все рыбы живут в воде. 2. Птицы летают, а рыбы плавают. 3. Я хочу поймать эту рыбу.","1. All fish live in water. 2. Birds fly, fish swim. 3. I want to catch this fish.",170,51,28,final,
203,203,ВОЛК,WOLF,3,,n,522,"Крупный дикий представитель семейства псовых (Canidae), близкий родственник собаки. (Concepticon)","A large wild canid (Canidae), closely related to the dog. (Concepticon)","1. Волки охотятся на зайцев. 2. Волки похожи на собак. 3. Волки живут в лесу, собаки охраняют людей.","1. Wolves hunt hares. 2. Wolves are similar to dogs. 3. Wolves live in the woods, dogs protect people.",150,0,0,final,
204,204,МЕДВЕДЬ,BEAR,3,,n,1820,"Особь любого вида семейства медвежьих (Ursidae). Крупное всеядное млекопитающее, живущее в лесу.",Any representative of the <i>Ursidae</i> family. A large omnivorous mammal that lives in the forest.,1. Медведи зимой спят. 2. Медведи любят есть мёд.,1. Bears sleep during winter. 2. Bears like to eat honey.,149,0,0,final,
205,205,ЛИСА,FOX,3,,n,1312,"Небольшое хищное животное рода лисиц (Vulpes) семейства псовых (Canidae), чаще всего Vulpes Vulpes.","A carnivorous relatively small canine of the Vulpes genus of the Canidae family, most typically the species Vulpes Vulpes.",1. Лиса поймала курицу. 2. У лис большой хвост.,1. A fox caught a hen. 2. Foxes have long tails.,151,0,0,final,
206,206,ОЛЕНЬ,DEER,3,,n,1936,Самое общее слово для представитель семейства оленьих (Cervidae). Отличается большими рогами.,The most general term for an animal of the <i>Cervidae </i>family. Is characterized by large antlers.,1. Олени живут высоко в горах. 2. У оленей большие рога.,1. Deer live high in the mountains. 2. Deer have large antlers.,147,0,0,final,
207,207,ГОРНЫЙ КОЗЁЛ,CAPRA CAUCASICA,3,,n,0,Дикий козёл (Capra caucasica). Также известен как тур.,A wild goat (<i>Capra caucasica</i>). Also known as the Caucasian tur.,"1. Охотник убил горного козла. 2. Тур — это козёл, который живёт в горах.",1. The hunter killed a Caucasian goat. 2. The tur is a goat that lives in the mountains.,145,0,0,final,
208,208,КОСУЛЯ,ROE,3,,n,0,Род оленей (Capreolus). Основной признак и отличие от оленей — небольшой размер и маленькие рога.,"A genus (Capreolus) of the Cervidae family. In practice, to be distinguished from deer proper by relatively small size and shorter antlers.",1. Косуля меньше оленя. 2. У косуль маленькие рога.,1. A roe is smaller than a deer. 2. Roes have small antlers.,146,0,0,final,
209,209,ВЕРБЛЮД,CAMEL,3,,n,1871,"Животное рода Camelus. На Кавказе не эндемичен, но известен с давних времён; термин для верблюда реконструируется для правосточнокавказского.","An animal of the genus <i>Camelus</i>. Is not endemic to the Caucasus, but known since ancient times; according to Nikolayaev & Starostin, the term for the camel is reconstructed for Proto-East Caucasian.",1. Верблюды водятся в жарких местах. 2. Верблюд может долго жить без воды.,1. Camels live in hot places. 2. A camel can live without water for a long time.,0,0,0,final,
210,210,ВОШЬ,LOUSE,3,,n,1392,"Головная вошь как обычный паразит человека. Отличать от платяной вши, лобковой вши, травяной вши и т. п., а также от гниды. (GLD)","Head louse as a basic human parasite. Should be kept separate from body lice, pubic lice, animal/plant species of lice, as well as nits.  (GLD)",1. У него по макушке ползет большая вошь. (GLD) 2. У него нет вшей. (GLD),1. There is a large louse creeping across the top of his head. (GLD) 2. He has no lice. (GLD),187,98,50,final,
211,211,ГНИДА,NIT,3,,n,267,"Личинка вши, которая иногда встречается в волосах людей. (Concepticon)",An egg of a louse that is sometimes found in people's hair. (Concepticon),1. Гниды бывают под волосами. 2. Гнида — личинка вши.,1. Nits are found under the hair. 2. A nit is the egg of a louse.,188,0,0,final,
212,212,БЛОХА,FLEA,3,,n,232,"Кровососущий паразит, встречающийся на теле млекопитающих, прежде всего собак.","A bloodsucking parasite that is found on the bodies of mammals, most typically dogs.",1. Шуба полна блох. 2. На этой собаке много блох.,1. The fur coat is full of fleas. 2. This dog has many fleas.,186,0,0,final,
213,213,ПИЯВКА,LEECH,3,,n,2273,"Кольчатые кровососущие черви, обитающие в водоёмах. Используются в традиционной медицине.",Segmented bloodsucking worms that inhabit freshwater environments. Used in traditional medicine.,1. Пиявки живут в воде. 2. Пиявка сосёт кровь. 3. Раньше болезни лечили пиявками.,1. Leeches live in the water. 2. Leeches suck blood. 3. In former times leeches were used to cure diseases.,175,0,0,final,
214,214,МУРАВЕЙ,ANT,3,,n,587,"Любое насекомое из семейства муравьёв (Formicidae). Маленькие крупноголовые насекомые, живущие в организованных колониях (муравейниках). (Concepticon)","Any of the black, red, brown, or yellow insects of the family Formicidae characterized by a large head and by living in organized colonies. (Concepticon)",1. Муравьи сильно кусаются. 2. Муравьи строят муравейники.,1. Ants bite badly. 2. Ants build ant hills.,181,208,0,final,
215,215,СЛЕПЕНЬ,GADFLY,3,,n,0,Насекомое семейства слепней (Tabanidae). Следует указывать нейтральный термин для крупного кровососущего насекомого (крупнее комара).,An animal of the <i>Tabanidae </i>family. The neutral word for a large flying bloodsucking animal (larger than a mosquito) should be used.,1. Слепень больно кусается. 2. Слепень больше комара.,1. Gadflies bite painfully. 2. A gadfly is larger than a mosquito.,177,0,0,final,
216,216,МОЛЬ,MOTH,3,,n,2828,"Группа бабочек (Lepidoptera) небольшого размера. Домашние вредители, которые портят шерстяные изделия и зерно.",A group of small-sized butterflies (<i>Lepidoptera</i>). Use the word for household pests that harm woolen items and grain; not nocturnal butteflies in general.,1. Моль съела шапку. 2. В мешке с зерном завелась моль.,1. Moths ate away the fur hat. 2. There is moth in the sack of grain.,180,0,0,check,
217,217,КЛЕЩ,MITE,3,,n,0,"Насекомые подкласса клещей (Acari) членистоногих. Паразитируют на млекопитающих, в том числе на человеке, и сосут их кровь.","Insects of the subclass <i>Acari </i>of the <i>Arachnida </i>family. Bloodsucking parasites of mammals, including humans.",1. На груди скотины бывает много клещей. 2. Клещи живут в высокой траве.,1. There are often many mites on the underside of cattle. 2. Mites live in high grass.,185,0,0,final,
218,218,КЛОП,BEDBUG,3,,n,1949,"Постельный клоп (Cimex lectularius). Насекомые, живущие в постелях и питающиеся кровь людей, чаще всего ночью.","<i>Cimex lectularius</i>, an insect that lives in bedding and feeds on human blood, usually at night.","1. Эта постель полна клопов. 2. Если в доме не убираться, в нём заведутся клопы.","1. This bed is full of bedbugs. 2. If you don’t clean your house, bedbugs will appear.",189,0,0,final,
219,219,ПАУК,SPIDER,3,,n,843,"Восьминогое насекомое отряда пауков, плетущее паутину.",An eight-legged insect of the order Araneae that weaves webs.,1. В углу комнаты паук сплёл паутину. 2. Пауки едят мух.,1. A spider has woven a web in the corner of the room. 2. Spiders eat flies.,182,0,0,final,
220,220,ПАУТИНА,SPIDER WEB,3,,n,1065,"Сеть, сотканная пауком для ловли мух.",A fine net of threads woven by a spider to catch insects. (Concepticon),1. В углу комнаты паук сплёл паутину. 2. Муха попала в паутину.,1. A spider has woven a web in the corner of the room. 2. A fly got caught in a spiderweb.,0,0,0,final,
221,221,ПЧЕЛА,BEE,3,,n,665,"Насекомые, живущие в колониях (ульях), опыляющие цветы и делающие мёд.","Insects that live in colonies (hives), pollinate flowers and produce honey.",1. Пчёлы делают мёд. 2. В соседнем селении держат пчёл.,1. Bees make honey. 2. People in the neighbouring village keep bees.,178,0,0,final,
222,222,ВОСК,BEESWAX,3,,n,1931,"Материал, который пчёлы используют для строительства медовых сот.",The material used by bees to construct honeycombs.,"1. Мёд едят, а воск — нет. 2. Соты сделаны из воска.",Honeycombs are made of beeswax.,0,0,0,final,
223,223,УЛЕЙ,BEEHIVE,3,,n,88,Сооружение для домашних пчёл.,An artificial construction for bees to live in.,Пчёлы живут в ульях.,Bees live in hives.,0,0,0,check,"add natural beehive (swarm, nest) as optional"
224,224,ОСА,WASP,3,,n,1517,"Летающее, жалящее насекомое, напоминающее пчелу; обычно жёлто-чёрное. (Concepticon)","A flying stinging insect related to the bee, which is usually coloured yellow and black. (Concepticon)","1. Оса сильно кусает. 2. Если осу не трогать, она не укусит. 3. Пчёлы делают мёд, осы — нет.","1. Wasps bite painfully. 2. If you don’t touch the wasp, it won’t bite you. 3. Bees make honey, wasps do not.",0,0,0,final,
225,225,МУХА,FLY,3,,n,1504,"Самое общее слово для мухи, представителя отряда двукрылых (Diptera).",A common insect; any species of insect of the order Diptera. (Concepticon),1. Мухи садятся на еду. 2. В жару бывает много мух.,"1. Flies land on food. 2. When it is hot, there are many flies.",176,211,0,final,
226,226,КОМАР,MOSQUITO,3,,n,1509,"Небольшое летающее насекомое семейства комаров (Culicidae), кусающее и сосущее кровь. (Concepticon)",A small flying insect (of the family Culicidae) known for biting and sucking blood. (Concepticon),1. Ночью меня укусил комар. 2. Комар пьёт кровь. 3. Комар меньше слепня.,1. A mosquito bit me at night. 2. Mosquitoes drink blood. 3. A mosquito is smaller than a gadfly.,179,0,0,final,
227,227,ЧЕРВЬ ЗЕМЛЯНОЙ,EARTHWORM,3,,n,2350,"Земляной червь. Отличать от №106 ‘змея’, а также от ‘глиста’ и ‘личинок’ (вкл. ‘гусениц’). (GLD)","Earthworm. Not to be confused with No.106 ‘snake’ or with ‘intestinal worm’ (e.g., ‘tapeworm’) and ‘larvae’ (incl. ‘caterpillars’). (GLD)","1. У змеи есть глаза, а у червя нету. (GLD)  2. Вон червь выполз из земли. (GLD)","1. A snake has eyes, a worm has no eyes. (GLD) 2. A worm has crawled out of the ground over there. (GLD)",174,204,109,final,
228,228,ЗМЕЯ,SNAKE,3,,n,730,"Самое общее слово для змеи, отличать от значения ‘червь’.",Most generic term for a reptile of the suborder Serpentes. (CoBL) To be distinguished from the meaning ‘worm’.,"1. У змеи есть глаза, а у червя нету. (GLD) 2. Птицы летают в небе, а змеи ползают по земле. (GLD) 3. Змея греется на солнце. (GLD)","1. A snake has eyes, a worm has no eyes. (GLD) 2. Birds fly in the sky, snakes crawl on the ground. (GLD) 3. The snake is basking in the sun. (GLD)",173,151,106,final,
229,229,СВЕТЛЯЧОК,FIREFLY,3,,n,206,"Небольшой жук, светящийся в темноте (семейство светляков, Lampyridae). (Concepticon)","A nocturnal, bioluminescent beetle of the family Lampyridae. (Concepticon)",1. Светлячки светятся в темноте. 2. Летом бывает много светлячков.,1. Fireflies glow in the dark. 2. In summer many fireflies appear.,0,0,0,final,
230,230,БАБОЧКА,BUTTERFLY,3,,n,1791,"Самое общее слово для представителя отряда чешуекрылых (Lepidoptera), активного днём. Отличать от слов для ночных бабочек (ср. рус. <i>мотылёк</i>), гусениц и моли.","The most general term for a representative of the order Lepidoptera, active at day. To be distinguished from specialized words for nocturnal butterflies (moths), caterpillars and moths that act as household pests.","1. Бабочки летают около цветов. 2. Бабочки летают днём, мотыльки — ночью.","1. Butterflies fly around flowers. 2. Butterflies fly during the day, moths fly during the night.",183,0,0,check,
231,231,КУЗНЕЧИК,GRASSHOPPER,3,,n,607,"Насекомое с длинными задними лапками, которое может высоко прыгать и издаёт высокий резкий звук движением задних лапок и крыльев (стрекочет). (Concepticon)",A plant-eating insect with long back legs that can jump very high and makes a sharp high noise using its back legs or wings. (Concepticon),1. В траве прыгают кузнечики. 2. Кузнечик стрекочет.,1. Grasshoppers are jumping in the grass. 2. A grasshopper is singing.,184,0,0,final,
232,232,УЛИТКА,SNAIL,3,,n,1543,Брюхоногий моллюск со спиральной раковиной. (wiki),"(Gastropoda) Ventral footed mollusk, including land snails, terrestrial pulmonate gastropod mollusks. (Concepticon)",1. Во влажном месте бывает много улиток. 2. Улитки ползают медленно.,1. There are often many snails in wet places. 2. Snails crawl slowly.,0,0,0,final,
233,233,ЛЯГУШКА,FROG,3,,n,503,"Бесхвостое земноводное зелёного цвета, способное далеко прыгать и издающее квакающие звуки.",A green tailless amphibian that is able to jump long distances and that produces quacking sounds,1. Лягушки живут в болоте. 2. Лягушки зелёные.,1. Frogs live in the swamp. 2. Frogs are green.,171,0,0,check,
234,234,ЯЩЕРИЦА,LIZARD,3,,n,632,Подотряд пресмыкающихся из отряда чешуйчатых. Отличаются от змей наличием конечностей.,A suborder of squamate reptiles. Are differentiated from snakes by the presence of limbs.,1. Ящерицы любят жару. 2. У ящериц четыре лапы и длинные хвосты.,1. Lizards like hot weather. 2. Lizards have four legs and long tails.,172,0,0,final,
235,235,МЫЧАТЬ,MOO,3,,v,0,"Производить звук, издаваемый коровой.",To make the typical sound produced by a cow.,Коровы мычат.,Cows moo.,153,0,0,final,
236,236,БЛЕЯТЬ (ОВЦА),BLEAT (SHEEP),3,,v,0,"Производить звук, издаваемый овцой.",To make the typical sound produced by a sheep.,Овцы блеют.,Sheep bleat.,155,0,0,final,
237,237,БЛЕЯТЬ (КОЗА),BLEAT (GOAT),3,,v,0,"Производить звук, издаваемый козой.",To make the typical sound produced by a goat.,Козы блеют.,Goats bleat.,154,0,0,final,
238,238,РЖАТЬ,NEIGH,3,,v,0,"Производить звук, издаваемый лошадью.",To make the typical sound produced by a horse.,Лошади ржут.,Horses neigh.,156,0,0,final,
239,239,КРИЧАТЬ (ОСЁЛ),HEE-HAW,3,,v,0,"Производить звук, издаваемый ослом.",To make the typical sound produced by a donkey.,Ослы кричат.,Donkeys hee-haw.,157,0,0,final,
240,240,МЯУКАТЬ,MEAOW,3,,v,0,"Производить звук, издаваемый кошкой.",To make the typical sound produced by a cat.,Кошки мяукают.,Cats meaow.,158,0,0,final,
241,241,ЛАЯТЬ,BARK (V.),3,,v,0,"Производить короткий, прерывистый звук, издаваемый собакой.","To make the loud, abrupt sound produced by a dog.",Собаки лают.,Dogs bark.,159,0,0,final,
