ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
avar-640_root-1,,avar,640_root,чӀар,чӀар,<?> <?> а р,,lexcauc,,,^ч Ӏ а р$,default
avar-641_branch-1,,avar,641_branch,кьибил,кьибил,<?> <?> <?> <?> <?> <?>,,lexcauc,,,^к ь и б и л$,default
avar-642_leaf-1,,avar,642_leaf,гӀaркьел,гӀaркьел,<?> <?> a р <?> <?> е <?>,,lexcauc,,,^г Ӏ a р к ь е л$,default
avar-643_flower-1,,avar,643_flower,тӀамaх,тӀамaх,т <?> а <?> a <?>,,lexcauc,,,^т Ӏ а м a х$,default
avar-644_tree-1,,avar,644_tree,тӀегь,тӀегь,т <?> е <?> <?>,,lexcauc,,,^т Ӏ е г ь$,default
avar-645_bush-1,,avar,645_bush,гъветӀ,гъветӀ,<?> <?> <?> е т <?>,,lexcauc,,,^г ъ в е т Ӏ$,default
avar-646_oak-1,,avar,646_oak,хъарaхъ,хъарaхъ,<?> <?> а р a <?> <?>,,lexcauc,,,^х ъ а р a х ъ$,default
avar-647_birch-1,,avar,647_birch,миккигъветӀ,миккигъветӀ,<?> <?> <?> <?> <?> <?> <?> е т <?>,,lexcauc,,,^м и кк и г ъ в е т Ӏ$,default
avar-648_limetree-1,,avar,648_limetree,мaхигъветӀ,мaхигъветӀ,<?> a <?> <?> <?> <?> <?> е т <?>,,lexcauc,,,^м a х и г ъ в е т Ӏ$,default
avar-649_willow-1,,avar,649_willow,гьaдигъветӀ,гьaдигъветӀ,<?> <?> a <?> <?> <?> <?> <?> е т <?>,,lexcauc,,,^г ь a д и г ъ в е т Ӏ$,default
avar-650_stoneoffruit-1,,avar,650_stoneoffruit,рицӀцӀигъветӀ,рицӀцӀигъветӀ,р <?> <?> <?> <?> <?> <?> <?> <?> <?> е т <?>,,lexcauc,,,^р и ц Ӏ ц Ӏ и г ъ в е т Ӏ$,default
avar-651_treestump-1,,avar,651_treestump,гагa,гагa,<?> а <?> a,,lexcauc,,,^г а г a$,default
avar-652_treetrunk-1,,avar,652_treetrunk,хӀехь,хӀехь,<?> <?> е <?> <?>,,lexcauc,,,^х Ӏ е х ь$,default
avar-653_tar-1,,avar,653_tar,гъотӀол рохти,гъотӀол рохти,<?> <?> <?> т <?> <?> <?> + р <?> <?> т <?>,,lexcauc,,,^г ъ о т Ӏ о л + р о х т и$,default
avar-654_barkn-1,,avar,654_barkn,пицӀцӀ,пицӀцӀ,<?> <?> <?> <?> <?> <?>,,lexcauc,,,^п и ц Ӏ ц Ӏ$,default
avar-655_woodchip-1,,avar,655_woodchip,макъaр,макъaр,<?> а <?> <?> a р,,lexcauc,,,^м а к ъ a р$,default
avar-656_stick-1,,avar,656_stick,рекeл,рекeл,р е <?> e <?>,,lexcauc,,,^р е к e л$,default
avar-657_fruit-1,,avar,657_fruit,тӀил,тӀил,т <?> <?> <?>,,lexcauc,,,^т Ӏ и л$,default
avar-658_apple-1,,avar,658_apple,пихъ,пихъ,<?> <?> <?> <?>,,lexcauc,,,^п и х ъ$,default
avar-659_pear-1,,avar,659_pear,гӀеч,гӀеч,<?> <?> е <?>,,lexcauc,,,^г Ӏ е ч$,default
avar-660_apricot-1,,avar,660_apricot,гeни,гeни,<?> e <?> <?>,,lexcauc,,,^г e н и$,default
avar-661_cherryplum-1,,avar,661_cherryplum,ахбaзан,ахбaзан,а <?> <?> a <?> а <?>,,lexcauc,,,^а х б a з а н$,default
avar-662_plum-1,,avar,662_plum,алчa,алчa,а <?> <?> a,,lexcauc,,,^а л ч a$,default
avar-663_barberry-1,,avar,663_barberry,кокoн,кокoн,<?> <?> <?> o <?>,,lexcauc,,,^к о к o н$,default
avar-664_dogwood-1,,avar,664_dogwood,сани,сани,<?> а <?> <?>,,lexcauc,,,^с а н и$,default
avar-665_raspberry-1,,avar,665_raspberry,жулaм,жулaм,<?> <?> <?> a <?>,,lexcauc,,,^ж у л a м$,default
avar-666_strawberrywild-1,,avar,666_strawberrywild,гӀодoбкари,гӀодoбкари,<?> <?> <?> <?> o <?> <?> а р <?>,,lexcauc,,,^г Ӏ о д o б к а р и$,default
avar-667_rosehip-1,,avar,667_rosehip,кверкъи,кверкъи,<?> <?> е р <?> <?> <?>,,lexcauc,,,^к в е р к ъ и$,default
avar-668_wildgarlic-1,,avar,668_wildgarlic,гӀинтӀи,гӀинтӀи,<?> <?> <?> <?> т <?> <?>,,lexcauc,,,^г Ӏ и н т Ӏ и$,default
avar-669_caraway-1,,avar,669_caraway,хӀанкy,хӀанкy,<?> <?> а <?> <?> y,,lexcauc,,,^х Ӏ а н к y$,default
avar-670_mint-1,,avar,670_mint,мучaри,мучaри,<?> <?> <?> a р <?>,,lexcauc,,,^м у ч a р и$,default
avar-671_burdock-1,,avar,671_burdock,сагӀам,сагӀам,<?> а <?> <?> а <?>,,lexcauc,,,^с а г Ӏ а м$,default
avar-672_reed-1,,avar,672_reed,гӀабyкӀ,гӀабyкӀ,<?> <?> а <?> y <?> <?>,,lexcauc,,,^г Ӏ а б y к Ӏ$,default
avar-673_weed-1,,avar,673_weed,муцӀцӀи,муцӀцӀи,<?> <?> <?> <?> <?> <?> <?>,,lexcauc,,,^м у ц Ӏ ц Ӏ и$,default
avar-674_thornsingle-1,,avar,674_thornsingle,чӀар,чӀар,<?> <?> а р,,lexcauc,,,^ч Ӏ а р$,default
avar-675_thornyplant-1,,avar,675_thornyplant,заз,заз,<?> а <?>,,lexcauc,,,^з а з$,default
avar-676_nettle-1,,avar,676_nettle,зазххер,зазххер,<?> а <?> <?> е р,,lexcauc,,,^з а з хх е р$,default
avar-677_mushroom-1,,avar,677_mushroom,мичӀчӀ,мичӀчӀ,<?> <?> <?> <?> <?> <?>,,lexcauc,,,^м и ч Ӏ ч Ӏ$,default
avar-678_do-1,,avar,678_do,гӀyрдахӀан,гӀyрдахӀан,<?> <?> y р <?> а <?> <?> а <?>,,lexcauc,,,^г Ӏ y р д а х Ӏ а н$,default
avar-679_work-1,,avar,679_work,гьабизе,гьабизе,<?> <?> а <?> <?> <?> е,,lexcauc,,,^г ь а б и з е$,default
avar-680_collectivework-1,,avar,680_collectivework,хӀалтизе,хӀалтизе,<?> <?> а <?> т <?> <?> е,,lexcauc,,,^х Ӏ а л т и з е$,default
avar-681_bendtr-1,,avar,681_bendtr,гвай,гвай,<?> <?> а <?>,,lexcauc,,,^г в а й$,default
avar-682_bendintr-1,,avar,682_bendintr,кӀичӀизабизе,кӀичӀизабизе,<?> <?> <?> <?> <?> <?> <?> а <?> <?> <?> е,,lexcauc,,,^к Ӏ и ч Ӏ и з а б и з е$,default
avar-683_tieobjects-1,,avar,683_tieobjects,кӀичӀизе,кӀичӀизе,<?> <?> <?> <?> <?> <?> <?> е,,lexcauc,,,^к Ӏ и ч Ӏ и з е$,default
avar-684_untieknotrope-1,,avar,684_untieknotrope,бухьине,бухьине,<?> <?> <?> <?> <?> <?> е,,lexcauc,,,^б у х ь и н е$,default
avar-685_chain-1,,avar,685_chain,бичизе,бичизе,<?> <?> <?> <?> <?> е,,lexcauc,,,^б и ч и з е$,default
avar-686_ropecord-1,,avar,686_ropecord,рахaсс,рахaсс,р а <?> a <?>,,lexcauc,,,^р а х a сс$,default
avar-687_knotnoun-1,,avar,687_knotnoun,квар,квар,<?> <?> а р,,lexcauc,,,^к в а р$,default
avar-688_beatofhuman-1,,avar,688_beatofhuman,гарацӀ,гарацӀ,<?> а р а <?> <?>,,lexcauc,,,^г а р а ц Ӏ$,default
avar-689_hitonce-1,,avar,689_hitonce,бaкине,бaкине,<?> a <?> <?> <?> е,,lexcauc,,,^б a к и н е$,default
avar-689_hitonce-2,,avar,689_hitonce,бухизе,бухизе,<?> <?> <?> <?> <?> е,,lexcauc,,,^б у х и з е$,default
avar-690_cutwood-1,,avar,690_cutwood,кьабизе,кьабизе,<?> <?> а <?> <?> <?> е,,lexcauc,,,^к ь а б и з е$,default
avar-691_cuttopieces-1,,avar,691_cuttopieces,къотӀизе,къотӀизе,<?> <?> <?> т <?> <?> <?> е,,lexcauc,,,^к ъ о т Ӏ и з е$,default
avar-692_cut-1,,avar,692_cut,буссизе,буссизе,<?> <?> <?> <?> <?> е,,lexcauc,,,^б у сс и з е$,default
avar-693_slaughtercattle-1,,avar,693_slaughtercattle,къoтӀизе,къoтӀизе,<?> <?> o т <?> <?> <?> е,,lexcauc,,,^к ъ o т Ӏ и з е$,default
avar-694_knife-1,,avar,694_knife,хъвeзе,хъвeзе,<?> <?> <?> e <?> е,,lexcauc,,,^х ъ в e з е$,default
avar-695_scissors-1,,avar,695_scissors,нус,нус,<?> <?> <?>,,lexcauc,,,^н у с$,default
avar-696_axe-1,,avar,696_axe,кӀвекьмaхх,кӀвекьмaхх,<?> <?> <?> е <?> <?> <?> a <?>,,lexcauc,,,^к Ӏ в е к ь м a хх$,default
avar-697_breakintr-1,,avar,697_breakintr,гӀащтӀи,гӀащтӀи,<?> <?> а <?> т <?> <?>,,lexcauc,,,^г Ӏ а щ т Ӏ и$,default
avar-698_breaktr-1,,avar,698_breaktr,бeкизе,бeкизе,<?> e <?> <?> <?> е,,lexcauc,,,^б e к и з е$,default
avar-699_tearintrofrope-1,,avar,699_tearintrofrope,бeкизе,бeкизе,<?> e <?> <?> <?> е,,lexcauc,,,^б e к и з е$,default
avar-700_teartr-1,,avar,700_teartr,бихъизе,бихъизе,<?> <?> <?> <?> <?> <?> е,,lexcauc,,,^б и х ъ и з е$,default
avar-701_tearoff-1,,avar,701_tearoff,бихъизе,бихъизе,<?> <?> <?> <?> <?> <?> е,,lexcauc,,,^б и х ъ и з е$,default
avar-702_burst-1,,avar,702_burst,тӀeзабизе,тӀeзабизе,т <?> e <?> а <?> <?> <?> е,,lexcauc,,,^т Ӏ e з а б и з е$,default
avar-702_burst-2,,avar,702_burst,тӀeзе,тӀeзе,т <?> e <?> е,,lexcauc,,,^т Ӏ e з е$,default
avar-703_flay-1,,avar,703_flay,кьвaтӀизе,кьвaтӀизе,<?> <?> <?> a т <?> <?> <?> е,,lexcauc,,,^к ь в a т Ӏ и з е$,default
avar-703_flay-2,,avar,703_flay,кьвaгьизе,кьвaгьизе,<?> <?> <?> a <?> <?> <?> <?> е,,lexcauc,,,^к ь в a г ь и з е$,default
avar-705_scratch-1,,avar,705_scratch,лъулъaзе,лъулъaзе,<?> <?> <?> <?> <?> a <?> е,,lexcauc,,,^л ъ у л ъ a з е$,default
avar-706_scrabble-1,,avar,706_scrabble,хъaсизе,хъaсизе,<?> <?> a <?> <?> <?> е,,lexcauc,,,^х ъ a с и з е$,default
avar-707_pull-1,,avar,707_pull,хъaрссизе,хъaрссизе,<?> <?> a р <?> <?> <?> е,,lexcauc,,,^х ъ a р сс и з е$,default
avar-708_drag-1,,avar,708_drag,цӀцӀaзе,цӀцӀaзе,<?> <?> <?> <?> a <?> е,,lexcauc,,,^ц Ӏ ц Ӏ a з е$,default
avar-709_hangtr-1,,avar,709_hangtr,бехъeрхъизе,бехъeрхъизе,<?> е <?> <?> e р <?> <?> <?> <?> е,,lexcauc,,,^б е х ъ e р х ъ и з е$,default
avar-710_hangintr-1,,avar,710_hangintr,базе,базе,<?> а <?> е,,lexcauc,,,^б а з е$,default
avar-710_hangintr-2,,avar,710_hangintr,дaлизабизе,дaлизабизе,<?> a <?> <?> <?> а <?> <?> <?> е,,lexcauc,,,^д a л и з а б и з е$,default
avar-711_pressv-1,,avar,711_pressv,дaлизе,дaлизе,<?> a <?> <?> <?> е,,lexcauc,,,^д a л и з е$,default
avar-712_pourtrliquid-1,,avar,712_pourtrliquid,бyкъизе,бyкъизе,<?> y <?> <?> <?> <?> е,,lexcauc,,,^б y к ъ и з е$,default
avar-713_pourintrgranular-1,,avar,713_pourintrgranular,тӀeзе,тӀeзе,т <?> e <?> е,,lexcauc,,,^т Ӏ e з е$,default
avar-714_pourtrgranular-1,,avar,714_pourtrgranular,бaзе,бaзе,<?> a <?> е,,lexcauc,,,^б a з е$,default
avar-714_pourtrgranular-2,,avar,714_pourtrgranular,гьaрщизе,гьaрщизе,<?> <?> a р <?> <?> <?> е,,lexcauc,,,^г ь a р щ и з е$,default
avar-715_wash-1,,avar,715_wash,бaзе,бaзе,<?> a <?> е,,lexcauc,,,^б a з е$,default
avar-715_wash-2,,avar,715_wash,гьaрщизе,гьaрщизе,<?> <?> a р <?> <?> <?> е,,lexcauc,,,^г ь a р щ и з е$,default
avar-716_washlaundry-1,,avar,716_washlaundry,чyризе,чyризе,<?> y р <?> <?> е,,lexcauc,,,^ч y р и з е$,default
avar-717_sweep-1,,avar,717_sweep,чyризе,чyризе,<?> y р <?> <?> е,,lexcauc,,,^ч y р и з е$,default
avar-718_broom-1,,avar,718_broom,лълъухьизе,лълъухьизе,<?> <?> <?> <?> <?> <?> <?> <?> <?> е,,lexcauc,,,^л ъ л ъ у х ь и з е$,default
avar-719_trough-1,,avar,719_trough,цӀцӀилицӀцӀ,цӀцӀилицӀцӀ,<?> <?> <?> <?> <?> <?> <?> <?> <?> <?> <?>,,lexcauc,,,^ц Ӏ ц Ӏ и л и ц Ӏ ц Ӏ$,default
avar-720_hew-1,,avar,720_hew,расa,расa,р а <?> a,,lexcauc,,,^р а с a$,default
avar-721_build-1,,avar,721_build,бyцӀизе,бyцӀизе,<?> y <?> <?> <?> <?> е,,lexcauc,,,^б y ц Ӏ и з е$,default
avar-722_bore-1,,avar,722_bore,бaзе,бaзе,<?> a <?> е,,lexcauc,,,^б a з е$,default
avar-723_saw-1,,avar,723_saw,бoрлълъизе,бoрлълъизе,<?> o р <?> <?> <?> <?> <?> <?> е,,lexcauc,,,^б o р л ъ л ъ и з е$,default
avar-724_saw-1,,avar,724_saw,хъухъaди-ро,хъухъaди-ро,<?> <?> <?> <?> <?> a <?> <?> <?> р <?>,,lexcauc,,,^х ъ у х ъ a д и - р о$,default
avar-725_hammer-1,,avar,725_hammer,хъухъaдизе,хъухъaдизе,<?> <?> <?> <?> <?> a <?> <?> <?> е,,lexcauc,,,^х ъ у х ъ a д и з е$,default
avar-726_sledgehammer-1,,avar,726_sledgehammer,квартӀa,квартӀa,<?> <?> а р т <?> a,,lexcauc,,,^к в а р т Ӏ a$,default
avar-727_nail-1,,avar,727_nail,гьецӀoкъ,гьецӀoкъ,<?> <?> е <?> <?> o <?> <?>,,lexcauc,,,^г ь е ц Ӏ o к ъ$,default
avar-728_forge-1,,avar,728_forge,магӀ,магӀ,<?> а <?> <?>,,lexcauc,,,^м а г Ӏ$,default
avar-729_bellows-1,,avar,729_bellows,къебeлъи,къебeлъи,<?> <?> е <?> e <?> <?> <?>,,lexcauc,,,^к ъ е б e л ъ и$,default
avar-731_flint-1,,avar,731_flint,гъецӀ,гъецӀ,<?> <?> е <?> <?>,,lexcauc,,,^г ъ е ц Ӏ$,default
avar-732_tinder-1,,avar,732_tinder,мачӀy,мачӀy,<?> а <?> <?> y,,lexcauc,,,^м а ч Ӏ y$,default
avar-734_whettrknife-1,,avar,734_whettrknife,лабч,лабч,<?> а <?> <?>,,lexcauc,,,^л а б ч$,default
avar-734_whettrknife-2,,avar,734_whettrknife,рач,рач,р а <?>,,lexcauc,,,^р а ч$,default
avar-734_whettrknife-3,,avar,734_whettrknife,синдaн,синдaн,<?> <?> <?> <?> a <?>,,lexcauc,,,^с и н д a н$,default
avar-735_whetstone-1,,avar,735_whetstone,бегӀeризе,бегӀeризе,<?> е <?> <?> e р <?> <?> е,,lexcauc,,,^б е г Ӏ e р и з е$,default
avar-737_silver-1,,avar,737_silver,месeд,месeд,<?> е <?> e <?>,,lexcauc,,,^м е с e д$,default
avar-738_copper-1,,avar,738_copper,гӀарaц,гӀарaц,<?> <?> а р a <?>,,lexcauc,,,^г Ӏ а р a ц$,default
avar-739_bronze-1,,avar,739_bronze,пахь,пахь,<?> а <?> <?>,,lexcauc,,,^п а х ь$,default
avar-740_iron-1,,avar,740_iron,махх,махх,<?> а <?>,,lexcauc,,,^м а хх$,default
avar-741_lead-1,,avar,741_lead,тӀохьи,тӀохьи,т <?> <?> <?> <?> <?>,,lexcauc,,,^т Ӏ о х ь и$,default
avar-742_tin-1,,avar,742_tin,гъалaй,гъалaй,<?> <?> а <?> a <?>,,lexcauc,,,^г ъ а л a й$,default
avar-743_clay-1,,avar,743_clay,хӀатӀ,хӀатӀ,<?> <?> а т <?>,,lexcauc,,,^х Ӏ а т Ӏ$,default
avar-744_glass-1,,avar,744_glass,цӀцӀер,цӀцӀер,<?> <?> <?> <?> е р,,lexcauc,,,^ц Ӏ ц Ӏ е р$,default
avar-745_weave-1,,avar,745_weave,бeссизе,бeссизе,<?> e <?> <?> <?> е,,lexcauc,,,^б e сс и з е$,default
avar-746_basket-1,,avar,746_basket,гьегь,гьегь,<?> <?> е <?> <?>,,lexcauc,,,^г ь е г ь$,default
avar-747_chestbox-1,,avar,747_chestbox,гъамaсс,гъамaсс,<?> <?> а <?> a <?>,,lexcauc,,,^г ъ а м a сс$,default
avar-748_waterskin-1,,avar,748_waterskin,къвачӀa,къвачӀa,<?> <?> <?> а <?> <?> a,,lexcauc,,,^к ъ в а ч Ӏ a$,default
avar-749_sack-1,,avar,749_sack,къандaлъо,къандaлъо,<?> <?> а <?> <?> a <?> <?> <?>,,lexcauc,,,^к ъ а н д a л ъ о$,default
avar-749_sack-2,,avar,749_sack,хъап,хъап,<?> <?> а <?>,,lexcauc,,,^х ъ а п$,default
avar-750_carpet-1,,avar,750_carpet,халича,халича,<?> а <?> <?> <?> а,,lexcauc,,,^х а л и ч а$,default
avar-751_mat-1,,avar,751_mat,палaс,палaс,<?> а <?> a <?>,,lexcauc,,,^п а л a с$,default
avar-751_mat-2,,avar,751_mat,турyт,турyт,т <?> р y т,,lexcauc,,,^т у р y т$,default
avar-752_rug-1,,avar,752_rug,бахине,бахине,<?> а <?> <?> <?> е,,lexcauc,,,^б а х и н е$,default
avar-753_smeargreaseonfood-1,,avar,753_smeargreaseonfood,кӀибикӀизе,кӀибикӀизе,<?> <?> <?> <?> <?> <?> <?> <?> <?> е,,lexcauc,,,^к Ӏ и б и к Ӏ и з е$,default
avar-754_rockintrofplant-1,,avar,754_rockintrofplant,кӀибикӀизе,кӀибикӀизе,<?> <?> <?> <?> <?> <?> <?> <?> <?> е,,lexcauc,,,^к Ӏ и б и к Ӏ и з е$,default
avar-755_turnintr-1,,avar,755_turnintr,тиризе,тиризе,т <?> р <?> <?> е,,lexcauc,,,^т и р и з е$,default
avar-757_turntr-1,,avar,757_turntr,(бакъ) баккине,баккине,<?> а <?> <?> <?> е,,lexcauc,,,^б а кк и н е$,default
avar-758_riseofsun-1,,avar,758_riseofsun,бoртизе,бoртизе,<?> o р т <?> <?> е,,lexcauc,,,^б o р т и з е$,default
avar-759_fall-1,,avar,759_fall,тӀенкӀeзе,тӀенкӀeзе,т <?> е <?> <?> <?> e <?> е,,lexcauc,,,^т Ӏ е н к Ӏ e з е$,default
avar-759_fall-2,,avar,759_fall,тӀинкӀизе,тӀинкӀизе,т <?> <?> <?> <?> <?> <?> <?> е,,lexcauc,,,^т Ӏ и н к Ӏ и з е$,default
avar-760_dripintr-1,,avar,760_dripintr,тӀири,тӀири,т <?> <?> р <?>,,lexcauc,,,^т Ӏ и р и$,default
avar-761_dropnofwater-1,,avar,761_dropnofwater,рeххизе,рeххизе,р e <?> <?> <?> е,,lexcauc,,,^р e хх и з е$,default
avar-762_throwv-1,,avar,762_throwv,кквeзе,кквeзе,<?> <?> e <?> е,,lexcauc,,,^кк в e з е$,default
avar-763_catchball-1,,avar,763_catchball,гъенeзабизе,гъенeзабизе,<?> <?> е <?> e <?> а <?> <?> <?> е,,lexcauc,,,^г ъ е н e з а б и з е$,default
avar-763_catchball-2,,avar,763_catchball,кӀyтӀизе,кӀyтӀизе,<?> <?> y т <?> <?> <?> е,,lexcauc,,,^к Ӏ y т Ӏ и з е$,default
avar-764_shake-1,,avar,764_shake,хьвагӀeзе,хьвагӀeзе,<?> <?> <?> а <?> <?> e <?> е,,lexcauc,,,^х ь в а г Ӏ e з е$,default
avar-765_swingtrstick-1,,avar,765_swingtrstick,вилълъине,вилълъине,<?> <?> <?> <?> <?> <?> <?> <?> е,,lexcauc,,,^в и л ъ л ъ и н е$,default
avar-766_walk-1,,avar,766_walk,лълъедeзе,лълъедeзе,<?> <?> <?> <?> е <?> e <?> е,,lexcauc,,,^л ъ л ъ е д e з е$,default
avar-767_swim-1,,avar,767_swim,бoржине,бoржине,<?> o р <?> <?> <?> е,,lexcauc,,,^б o р ж и н е$,default
avar-768_flyv-1,,avar,768_flyv,пyйзе,пyйзе,<?> y <?> <?> е,,lexcauc,,,^п y й з е$,default
avar-769_blowvofperson-1,,avar,769_blowvofperson,хъyрщизе,хъyрщизе,<?> <?> y р <?> <?> <?> е,,lexcauc,,,^х ъ y р щ и з е$,default
avar-770_crawlvofperson-1,,avar,770_crawlvofperson,кӀускӀyсизе,кӀускӀyсизе,<?> <?> <?> <?> <?> <?> y <?> <?> <?> е,,lexcauc,,,^к Ӏ у с к Ӏ y с и з е$,default
avar-771_crouch-1,,avar,771_crouch,хъyщтӀизе,хъyщтӀизе,<?> <?> y <?> т <?> <?> <?> е,,lexcauc,,,^х ъ y щ т Ӏ и з е$,default
avar-772_slideslip-1,,avar,772_slideslip,кӀанцӀeзе,кӀанцӀeзе,<?> <?> а <?> <?> <?> e <?> е,,lexcauc,,,^к Ӏ а н ц Ӏ e з е$,default
avar-773_jumpleap-1,,avar,773_jumpleap,кьyрдизе,кьyрдизе,<?> <?> y р <?> <?> <?> е,,lexcauc,,,^к ь y р д и з е$,default
avar-774_dance-1,,avar,774_dance,кьyрди,кьyрди,<?> <?> y р <?> <?>,,lexcauc,,,^к ь y р д и$,default
avar-775_dancen-1,,avar,775_dancen,гaли,гaли,<?> a <?> <?>,,lexcauc,,,^г a л и$,default
avar-776_stepn-1,,avar,776_stepn,бекeризе,бекeризе,<?> е <?> e р <?> <?> е,,lexcauc,,,^б е к e р и з е$,default
avar-777_run-1,,avar,777_run,ине,ине,<?> <?> е,,lexcauc,,,^и н е$,default
avar-778_go-1,,avar,778_go,бaхъизе,бaхъизе,<?> a <?> <?> <?> <?> е,,lexcauc,,,^б a х ъ и з е$,default
avar-779_goout-1,,avar,779_goout,бaчӀине,бaчӀине,<?> a <?> <?> <?> <?> е,,lexcauc,,,^б a ч Ӏ и н е$,default
avar-780_come-1,,avar,780_come,бyссине,бyссине,<?> y <?> <?> <?> е,,lexcauc,,,^б y сс и н е$,default
avar-781_comeback-1,,avar,781_comeback,тӀaсаине,тӀaсаине,т <?> a <?> а <?> <?> е,,lexcauc,,,^т Ӏ a с а и н е$,default
avar-782_goaway-1,,avar,782_goaway,тӀeрхьине,тӀeрхьине,т <?> e р <?> <?> <?> <?> е,,lexcauc,,,^т Ӏ e р х ь и н е$,default
avar-783_disappear-1,,avar,783_disappear,тӀyризе,тӀyризе,т <?> y р <?> <?> е,,lexcauc,,,^т Ӏ y р и з е$,default
avar-784_flee-1,,avar,784_flee,щвезе,щвезе,<?> <?> е <?> е,,lexcauc,,,^щ в е з е$,default
avar-785_arrive-1,,avar,785_arrive,лълъyгьине,лълъyгьине,<?> <?> <?> <?> y <?> <?> <?> <?> е,,lexcauc,,,^л ъ л ъ y г ь и н е$,default
avar-786_enter-1,,avar,786_enter,бaччизе,бaччизе,<?> a <?> <?> <?> е,,lexcauc,,,^б a чч и з е$,default
avar-787_carry-1,,avar,787_carry,битӀизе,битӀизе,<?> <?> т <?> <?> <?> е,,lexcauc,,,^б и т Ӏ и з е$,default
avar-788_send-1,,avar,788_send,бачaхъизе,бачaхъизе,<?> а <?> a <?> <?> <?> <?> е,,lexcauc,,,^б а ч a х ъ и з е$,default
avar-789_drive-1,,avar,789_drive,рeкӀине,рeкӀине,р e <?> <?> <?> <?> е,,lexcauc,,,^р e к Ӏ и н е$,default
avar-790_mount-1,,avar,790_mount,тyнкизе,тyнкизе,т y <?> <?> <?> <?> е,,lexcauc,,,^т y н к и з е$,default
avar-791_push-1,,avar,791_push,дaнделъизе,дaнделъизе,<?> a <?> <?> е <?> <?> <?> <?> е,,lexcauc,,,^д a н д е л ъ и з е$,default
avar-792_gatherintr-1,,avar,792_gatherintr,нух,нух,<?> <?> <?>,,lexcauc,,,^н у х$,default
avar-793_road-1,,avar,793_road,кьо,кьо,<?> <?> <?>,,lexcauc,,,^к ь о$,default
avar-794_bridge-1,,avar,794_bridge,гьокo,гьокo,<?> <?> <?> <?> o,,lexcauc,,,^г ь о к o$,default
avar-795_carriage-1,,avar,795_carriage,чанaгъ,чанaгъ,<?> а <?> a <?> <?>,,lexcauc,,,^ч а н a г ъ$,default
avar-796_sledge-1,,avar,796_sledge,бер,бер,<?> е р,,lexcauc,,,^б е р$,default
avar-797_wheel-1,,avar,797_wheel,хӀосс,хӀосс,<?> <?> <?> <?>,,lexcauc,,,^х Ӏ о сс$,default
avar-798_axle-1,,avar,798_axle,рукь,рукь,р <?> <?> <?>,,lexcauc,,,^р у к ь$,default
avar-799_yoke-1,,avar,799_yoke,гьир,гьир,<?> <?> <?> р,,lexcauc,,,^г ь и р$,default
avar-800_burden-1,,avar,800_burden,гьир,гьир,<?> <?> <?> р,,lexcauc,,,^г ь и р$,default
avar-800_burden-2,,avar,800_burden,рaччи,рaччи,р a <?> <?>,,lexcauc,,,^р a чч и$,default
avar-801_packsaddle-1,,avar,801_packsaddle,квaцӀи,квaцӀи,<?> <?> a <?> <?> <?>,,lexcauc,,,^к в a ц Ӏ и$,default
avar-802_armful-1,,avar,802_armful,кьили,кьили,<?> <?> <?> <?> <?>,,lexcauc,,,^к ь и л и$,default
avar-803_saddle-1,,avar,803_saddle,чӀолoхъжо,чӀолoхъжо,<?> <?> <?> <?> o <?> <?> <?> <?>,,lexcauc,,,^ч Ӏ о л o х ъ ж о$,default
avar-803_saddle-2,,avar,803_saddle,чӀолoрхъо,чӀолoрхъо,<?> <?> <?> <?> o р <?> <?> <?>,,lexcauc,,,^ч Ӏ о л o р х ъ о$,default
avar-804_bridle-1,,avar,804_bridle,цӀцӀал,цӀцӀал,<?> <?> <?> <?> а <?>,,lexcauc,,,^ц Ӏ ц Ӏ а л$,default
avar-805_whip-1,,avar,805_whip,уздeнг,уздeнг,<?> <?> <?> e <?> <?>,,lexcauc,,,^у з д e н г$,default
avar-806_stirrup-1,,avar,806_stirrup,тӀикъвa,тӀикъвa,т <?> <?> <?> <?> <?> a,,lexcauc,,,^т Ӏ и к ъ в a$,default
avar-807_horseshoe-1,,avar,807_horseshoe,гамa,гамa,<?> а <?> a,,lexcauc,,,^г а м a$,default
avar-808_ship-1,,avar,808_ship,бoсизе,бoсизе,<?> o <?> <?> <?> е,,lexcauc,,,^б o с и з е$,default
avar-809_take-1,,avar,809_take,кквeзе,кквeзе,<?> <?> e <?> е,,lexcauc,,,^кк в e з е$,default
avar-810_hold-1,,avar,810_hold,тeзе,тeзе,т e <?> е,,lexcauc,,,^т e з е$,default
avar-811_leavetr-1,,avar,811_leavetr,ххyтӀизе,ххyтӀизе,<?> y т <?> <?> <?> е,,lexcauc,,,^хх y т Ӏ и з е$,default
avar-812_stay-1,,avar,812_stay,бaхъизе,бaхъизе,<?> a <?> <?> <?> <?> е,,lexcauc,,,^б a х ъ и з е$,default
avar-812_stay-2,,avar,812_stay,тӀaссабахъизе,тӀaссабахъизе,т <?> a <?> а <?> а <?> <?> <?> <?> е,,lexcauc,,,^т Ӏ a сс а б а х ъ и з е$,default
avar-813_seize-1,,avar,813_seize,кьeзе,кьeзе,<?> <?> e <?> е,,lexcauc,,,^к ь e з е$,default
