db.id,form.id,lex.id,colex.id,lc.id,concepticon.id,subentry,aux,opt,excl,orthographic,phonemic,gloss,ipa,def.ru,def.en,cx1,cx1.ru,cx1.en,cx2,cx2.ru,cx2.en,cx3,cx3.ru,cx3.en,gender,notes,lang
1872,38,13,,13,,loc.ess,aux,,,?,,,,,,,,,,,,,,,,,itsari
1873,39,13,,13,,pl,aux,,,умххиппи,umχː-ipːi,R(cave)-PL,ʔumχːipːi,,,,,,,,,,,,,,itsari
1874,40,14,,14,,sg,,,,гьин,hin,R(water),hin,,,,,,,,,,,,NPL,,itsari
1875,41,14,,14,,pl,aux,,,гьинби,hin-bi,R(water)-PL,,,,,,,,,,,,,,,itsari
1876,42,15,,15,,,,,,урхьхьу,urxːu,R(sea),ʔurxːu,,,,,,,,,,,,NPL,,itsari
1877,43,15,,15,,pl,aux,,,урхьни,urx-ni,R(sea)-PL,,,,,,,,,,,,,,,itsari
1878,44,16,,16,,,,,,хьвярхьвя,xʷaˁrxʷaˁ,R(foam),xʷaˁrxʷaˁ,пена на реке,foam on a river,,,,,,,,,,NPL,,itsari
1879,45,16,,16,,pl,aux,,,хьвярхьвин,xʷaˁrxʷ-in,R(foam)-PL,,,,,,,,,,,,,,,itsari
1880,46,17,,17,,sg,,,,шар,šar,R(lake),ʃar,,,,,,,,,,,,,,itsari
1881,47,17,,17,,pl,aux,,,ширми,šir-mi,R(lake)-PL,ʃirmi,,,,,,,,,,,,,,itsari
1882,48,18,,18,,sg,,,,аркӀв,arkʼʷ,R(river),ʔarkʼʷ,,,,,,,,,,,,,,itsari
1883,49,18,,18,,pl,aux,,,?,,,,,,,,,,,,,,,,,itsari
1884,50,19,,19,,sg,,,,гӀятӀа,ʡaˁtʼa,R(stream),ʡaˁtʼa,"маленькая струя, в т.ч. пота, воды с крыши и т.д.","small stream, including sweat, water from leaking roof etc.",,,,,,,,,,,,itsari
1885,51,19,,19,,pl,aux,,,гӀятӀиппи,ʡaˁtʼ-ipːi,R(stream)-PL,ʡaˁtʼipːi,,,,,,,,,,,,,,itsari
1886,52,20,,20,,sg,,,,кьулла,qʼulla,R(spring),qʼulːa,,,,,,,,,,,,,,itsari
1887,53,20,,20,,pl,aux,,,кьуллиппни,qʼull-ipːni,R(spring)-PL,qʼulːipːni,,,,,,,,,,,,,,itsari
1888,54,21,,21,,sg,,,,кабурц,kaburc,R(swamp),kʰaburt͡sʰ,,,,,,,,,,,,,,itsari
1889,55,21,,21,,pl,aux,,,кабурци,kaburc-i,R(swamp)-PL,kʰaburt͡sʰi,,,,,,,,,,,,,,itsari
1890,56,22,,22,,sg,,,,вацӀа,wacʼa,R(forest),wat͡sʼa,,,,,,,,,,,,,,itsari
1891,57,22,,22,,pl,aux,,,вацӀурби,wacʼ-urbi,R(forest)-PL,wat͡sʼurbi,,,,,,,,,,,,,,itsari
1892,58,23,,23,,sg,,,,къаркъа,qːarqːa,R(stone),qːarqːa,,,,,,,,,,,,,,itsari
1893,59,23,,23,,pl,aux,,,къиркъин,qːirqː-in,R(stone)-PL,qːirqːin,,,,,,,,,,,,,,itsari
1894,60,24,,24,,sg,,,,ссема,sːema,R(pebble),sːema,,,,,,,,,,,,NSG=NPL,,itsari
1895,61,24,,24,,pl,aux,,,ссема,sːema,R(pebble),sːema,,,,,,,,,,,,,,itsari
1896,62,25,,25,,,,,,гъягъя,ʁaˁʁaˁ,R(gravel),ʁˁaˁʁˁaˁ,,,,,,,,,,,,NPL,,itsari
1897,63,26,,26,,,,,,ццаб,cːab,R(sky),t͡sːab,,,,,,,,,,,,,,itsari
1898,64,26,,26,,pl,aux,,,ццибри,cːib-ri,R(sky)-PL,,,,,,,,,,,,,,,itsari
1899,65,27,,27,,,,,,бар,bar,R(sun),bar,,,,,,,,,,,,NSG,,itsari
1900,66,28,,28,,,,,,бацц,bacː,R(moon),bat͡sː,,,,,,,,,,,,NSG,,itsari
1901,67,29,,29,,sg,,,,зири,ziri,R(star),ziri,,,,,,,,,,,,,,itsari
1902,68,29,,29,,pl,aux,,,зирми,zir-mi,R(star)-PL,zirmi,,,,,,,,,,,,,,itsari
1903,69,30,,30,,sg,,,,лямцӀ,laˁmcʼ,R(lightning),laˁmt͡sʼ,,,,,,,,,,,,,,itsari
1904,70,30,,30,,pl,aux,,,лиӀмцӀри,liˁmcʼ-ri,R(lightning)-PL,lɪˁmt͡sʼri,,,,,,,,,,,,,,itsari
1905,71,31,,31,,,,,,къукъу,qːuqːu,R(thunder),qːuqːu,,,,,,,,,,,,NPL,,itsari
1906,72,32,,32,,,,,,цӀиххяб,cʼiχːaˁb,R(rainbow),t͡sʼiχːaˁb,,,,,,,,,,,,,,itsari
1907,73,33,,33,,,,,,шшала,šːala,R(light),ʃːala,,,,,,,,,,,,NPL,,itsari
1908,74,33,,33,,pl,aux,,,шшилми,šːil-mi,R(light)-PL,,,,,,,,,,,,,,Refers to many lights,itsari
1909,75,34,,34,,sg,,,,пяхтти,paˁχtːi,R(shadow),pʰaˁχtːi,,,,,,,,,,,,,,itsari
1910,76,34,,34,,pl,aux,,,пяхттурби,paˁχtː-urbi,R(shadow)-PL,pʰaˁχtːurbi,,,,,,,,,,,,,Dubious form,itsari
1911,77,35,,35,,,,,,эрза,erza,R(dew),ʔerza,,,,,,,,,,,,NSG=NPL,,itsari
1912,78,35,,35,,pl,aux,,,эрзин,erz-in,R(dew)-PL,,,,,,,,,,,,,,Several instances of dew on multiple days,itsari
1913,79,36,,36,,,,,,чӀан,čʼan,R(wind),t͡ʃʼan,,,,,,,,,,,,,,itsari
1914,80,37,,37,,sg,,,,хъир,qir,R(cloud),q͡χʰir,,,,,,,,,,,,,,itsari
1915,81,37,,37,,pl,aux,,,хъирби,qir-bi,R(cloud)-PL,q͡χʰirbi,,,,,,,,,,,,,,itsari
1916,82,38,,38,,,,,,дирихьв,dirixʷ,R(fog),dirixʷ,,,,,,,,,,,,,,itsari
1917,83,39,,39,,,,,,марка,marka,R(rain),markʰa,,,,,,,,,,,,,,itsari
1918,84,40,,40,,,,,,маркни,mark-ni,R(rain)-PL,markʰni,,,,,,,,,,,,,,itsari
1919,85,41,,41,,,,,,хъябхъяла марка,qaˁbqaˁ-la marka,R(hail)-GEN R(rain),q͡χˁaˁbq͡χˁala markʰa,,,,,,,,,,,,,The word <i>qaˁbqaˁ</i> is never used outside of this expression,itsari
1920,86,42,,42,,ipfv,,,,бусар,b-us-ar,CL3-R(rain)-HAB,busar,,,,,,,,,,,,,No pfv. stem,itsari
1921,87,43,,43,,,,,,мейг,mejg,R(ice),mejg,,,,,,,,,,,,,,itsari
1922,88,43,,43,,pl,aux,,,мейгби,mejg-bi,R(ice)-PL,,,,,,,,,,,,,,,itsari
1923,89,44,,44,,,,,,шах,šaχ,R(frost),ʃaχ,,,,,,,,,,,,,Sg. tantum,itsari
1924,90,45,,45,,pfv,,,,?,,,,,,,,,,,,,,,,,itsari
1925,91,45,,45,,ipfv,aux,,,?,,,,,,,,,,,,,,,,,itsari
1926,92,46,,46,,pfv,,,,бацӀиб,b-acʼ-ib,CL3-R(melt)-AOR[3],bat͡sʼib,,,,,,,,,,,,,,itsari
1927,93,46,,46,,ipfv,aux,,,бицӀар,b-icʼ-ar,CL3-R(melt)-HAB.3,bit͡sʼar,,,,,,,,,,,,,,itsari
1928,94,47,,47,,pfv,,,,?,,,,,,,,,,,,,,,,,itsari
1929,95,47,,47,,ipfv,aux,,,?,,,,,,,,,,,,,,,,,itsari
1930,96,48,,48,,,,,,цӀа,cʼa,R(fire),t͡sʼa,,,,,,,,,,,,,,itsari
1931,97,48,,48,,pl,aux,,,цӀами,cʼa-mi,R(fire)-PL,,,,,,,,,,,,,,,itsari
1932,98,48,,48,,dat,aux,,,цӀалий,cʼa-li-j,R(fire)-OBL-DAT,,,,,,,,,,,,,,,itsari
1933,99,49,,49,,,,,,жергва,žergʷa,R(smoke),ʒergʷa,,,,,,,,,,,,,,itsari
1934,100,49,,49,,pl,aux,,,жергвин,žergʷ-in,R(smoke)-PL,,,,,,,,,,,,,,,itsari
1935,101,50,3,50,,,,,,хъвясса,qʷaˁsːa,R(ashes),q͡χʰʷaˁsːa,"пыль, зола","dust, ashes",,,,,,,,,,,,itsari
1936,102,51,,51,,ipfv,,,,алшан,alš-an,R(burn)-HAB.3,ʔalʃan,,,,,,,,,,,,,,itsari
1937,103,51,,51,,pfv,aux,,,?,,,,,,,,,,,,,,,,,itsari
1938,104,52,,52,,pfv,,,,биккуб,b-ikː-ub,CL3-R(burn)-AOR[3],bikːub,сжечь,burn down,,,,,,,,,,,,itsari
1939,105,52,,52,,ipfv,aux,,,икку,ikː-u,R(burn)-HAB.3,ʔikːu,,,,,,,,,,,,,,itsari
1940,106,53,,53,,pfv,,,,ашун,aš-un,R(burn)-AOR[3],ʔaʃun,загореться,catch fire,,,,,,,,,,,,itsari
1941,107,53,,53,,ipfv,aux,,,?,,,,,,,,,,,,,,,,,itsari
1942,108,54,,54,,pfv,,,,?,,,,,,,,,,,,,,,,,itsari
1943,109,54,,54,,ipfv,aux,,,?,,,,,,,,,,,,,,,,,itsari
1944,110,55,,55,,pfv,,,,бишун,b-iš-un,CL3-R(become.extinguished)-AOR[3],biʃun,,,,,,,,,,,,,,itsari
1945,111,55,,55,,ipfv,aux,,,билшан,b-ilš-an,CL3-R(become.extinguished)-HAB.3,bilʃan,,,,,,,,,,,,,,itsari
1946,112,56,,56,,pfv,,,,бишахъун,b-iš-aq-un,CL3-R(become.extinguished)-CAUS-AOR[3],biʃaq͡χʰun,,,,,,,,,,,,,,itsari
1947,113,56,,56,,ipfv,aux,,,?,,,,,,,,,,,,,,,,,itsari
1948,114,57,,57,,pfv,,,,бяххиӀб,b-aˁχː-iˁb,CL3-R(become.cold)-AOR[3],baˁχːˁiˁb,,,,,,,,,,,,,,itsari
1949,115,57,,57,,ipfv,aux,,,биӀххяр,b-iˁχː-aˁr,CL3-R(become.cold)-HAB.3,biˁχːˁaˁr,,,,,,,,,,,,,,itsari
1950,116,58,,58,,,,,,урцул,urcul,R(firewood),urt͡sʰul,,,,,,,,,,,,NPL,,itsari
1951,117,58,,58,,pl,aux,,,урцулти,urcul-ti,R(firewood)-PL,,,,,,,,,,,,,,"Rarely used, for different types of firewood",itsari
1952,118,59,,59,,,,,,кка,kːa,R(charcoal),kːa,,,,,,,,,,,,NPL,,itsari
1953,119,59,,59,,dat,aux,,,ккалий,kːa-li-j,R(charcoal)-OBL-DAT,,,,,,,,,,,,,,,itsari
1954,120,60,,60,,sg,,,,кьялта,qʼaˁlta,R(charcoal.piece),qʼˁaˁltʰa,,,,,,,,,,,,,,itsari
1955,121,60,,60,,pl,aux,,,кьялтин,qʼaˁlt-in,R(charcoal.piece)-PL,qʼˁaˁltʰin,,,,,,,,,,,,,,itsari
1956,122,61,,61,,,,,,эбчча,ebčːa,R(embers),ʔebt͡ʃːa,,,,,,,,,,,,NPL,,itsari
1957,123,62,,62,,sg,,,,кубарт,kubart,R(dung.fuel),kʰubartʰ,,,,,,,,,,,,,,itsari
1958,124,62,,62,,pl,aux,,,кубарти,kubart-i,R(dung.fuel)-PL,kʰubartʰ-i,,,,,,,,,,,,,,itsari
1959,125,63,,63,,sg,,,,?,,,,,,,,,,,,,,,,,itsari
1960,126,63,,63,,pl,aux,,,?,,,,,,,,,,,,,,,,,itsari
1961,127,64,,64,,sg,,,,адми,admi,R(man),ʔadmi,,,,,,,,,,,,,,itsari
1962,128,64,,64,,pl,aux,,,адамти,adam-ti,R(man)-PL,ʔadam-tʰi,,,,,,,,,,,,,,itsari
1963,129,65,,65,,sg,,,,хьхьунул,xːunul,R(woman),xːunul,"женщина, жена","woman, wife",,,,,,,,,,,,itsari
1964,130,65,,65,,pl,aux,,,хьхьунри,xːun-ri,R(woman)-PL,xːunri,,,,,,,,,,,,,,itsari
1965,131,68,,68,,sg,,,,дёрхӀё,duˁrħuˁ,R(boy),duˁrħuˁ,"мальчик,сын, ребёнок","boy, son, child",,,,,,,,,,,,itsari
1966,132,68,,68,,pl,aux,,,дегьни,deh-ni,R(boy)-PL,dehni,,,,,,,,,,,,,,itsari
1967,133,69,,69,,sg,,,,рирсси,rirsːi,R(girl),rirsːi,"девочка, дочь","girl, daughter",,,,,,,,,,,,itsari
1968,134,69,,69,,pl,aux,,,рирсби,rirs-bi,R(girl)-PL,rirsbi,,,,,,,,,,,,,,itsari
1969,135,70,68,70,,sg,,,,дёрхӀё,duˁrħuˁ,R(boy),duˁrħuˁ,"мальчик,сын, ребёнок","boy, son, child",,,,,,,,,,,,itsari
1970,136,70,68,70,,pl,aux,,,дегьни,deh-ni,R(boy)-PL,dehni,,,,,,,,,,,,,,itsari
1971,137,71,,71,,sg,,,,нёкьеци,nuˁqʼe-ci,R(small)-ATTR,nuˁq͡χʰˁet͡sʰi,маленький,small,,,,,,,,,,,,itsari
1972,138,71,,71,,pl,aux,,,нёкьети,nuˁqʼe-ti,R(small)-PL,nuˁq͡χʰˁetʰi,,,,,,,,,,,,,,itsari
1973,139,72,,72,,sg,,,,суб,sub,R(husband),sub,,,,,,,,,,,,,,itsari
1974,140,72,,72,,pl,aux,,,субри,sub-ri,R(husband)-PL,subri,,,,,,,,,,,,,,itsari
1975,141,73,65,73,,sg,,,,хьхьунул,xːunul,R(woman),xːunul,"женщина, жена","woman, wife",,,,,,,,,,,,itsari
1976,142,73,65,73,,pl,aux,,,хьхьунри,xːun-ri,R(woman)-PL,xːunri,,,,,,,,,,,,,,itsari
1977,143,74,,74,,sg,,,,цӀикури,cʼikuri,R(bride),t͡sʼikʰuri,"жених, невеста","bridegroom, bride",,,,,,,,,,,,itsari
1978,144,74,,74,,pl,aux,,,цӀикурми,cʼikur-mi,R(bride)-PL,t͡sʼikʰurmi,,,,,,,,,,,,,,itsari
1979,145,75,74,75,,sg,,,,цӀикури,cʼikuri,R(bride),t͡sʼikʰuri,"жених, невеста","bridegroom, bride",,,,,,,,,,,,itsari
1980,146,75,74,75,,pl,aux,,,цӀикурми,cʼikur-mi,R(bride)-PL,t͡sʼikʰurmi,,,,,,,,,,,,,,itsari
1981,147,76,,76,,pfv,,,,хъалла кабигиб,qal-la ka-b-ig-ib,R(house)-GEN PV-HPL-R(LV.sit)-AOR[3],q͡χʰalla kʰejgib,,,,,,,,,,,,,,itsari
1982,148,76,,76,,ipfv,aux,,,хъалла кабиргар,qal-la ka-b-irg-ar,R(house)-GEN PV-HPL-R(LV.sit)-HAB.3,q͡χʰalla kʰabirgar,,,,,,,,,,,,,,itsari
1983,149,77,,77,,pfv,,,,хьади рярун,xadi r-aˁr-un,R(ST) CL2-R(LV.go).PFV-AOR[3],xadi raˁrun,,,,,,,,,,,,,,itsari
1984,150,77,,77,,ipfv,aux,,,хьади рахьар,xadi r-ax-ar,R(ST) CL2-R(LV.go).IPFV-HAB.3,,,,,,,,,,,,,,,itsari
1985,151,77,,77,,inf.pfv,aux,,,хьади рягӀянай,xadi r-aˁʡ-aˁnaj,R(ST) CL2-R(LV.go).PFV-INF,,,,,,,,,,,,,,,itsari
1986,152,78,,78,,sg,,,,микъ,miqː,R(wedding),miqː,,,,,,,,,,,,,,itsari
1987,153,78,,78,,pl,aux,,,микъби,miqː-bi,R(wedding)-PL,miqːbi,,,,,,,,,,,,,,itsari
1988,154,79,,79,,sg,,,,ттатти,tːatːi,R(father),tːatːi,,,,,,,,,,,,,,itsari
1989,155,79,,79,,pl,aux,,,ттаттби,tːatː-bi,R(father)-PL,tːatːbi,предки,ancestors,,,,,,,,,,,,itsari
1990,156,80,,80,,sg,,,,ваба,waba,R(mother),waba,,,,,,,,,,,,,,itsari
1991,157,80,,80,,pl,aux,,,вабни,wab-ni,R(mother)-PL,wabni,,,,,,,,,,,,,,itsari
1992,158,81,68,81,,sg,,,,дёрхӀё,duˁrħuˁ,R(boy),duˁrħuˁ,"мальчик,сын, ребёнок","boy, son, child",,,,,,,,,,,,itsari
1993,159,81,68,81,,pl,aux,,,дегьни,deh-ni,R(boy)-PL,dehni,,,,,,,,,,,,,,itsari
1994,160,82,69,82,,sg,,,,рирсси,rirsːi,R(girl),rirsːi,"девочка, дочь","girl, daughter",,,,,,,,,,,,itsari
1995,161,82,69,82,,pl,aux,,,рирсби,rirs-bi,R(girl)-PL,rirsbi,,,,,,,,,,,,,,itsari
1996,162,83,,83,,sg,,,,уцци,ucːi,R(brother),ut͡sːi,,,,,,,,,,,,,,itsari
1997,163,83,,83,,pl,aux,,,уццби,ucː-bi,R(brother)-PL,ut͡sːbi,,,,,,,,,,,,,,itsari
1998,164,84,,84,,sg,,,,руцци,rucːi,R(brother),rut͡sːi,,,,,,,,,,,,,,itsari
1999,165,84,,84,,pl,aux,,,руццби,rucː-bi,R(brother)-PL,rut͡sːbi,,,,,,,,,,,,,,itsari
2000,166,85,,85,,,,,,кӀвидяркьиӀ,kʼʷi-d-aˁrqʼ-iˁ,R(two)-NPL-R(LV.do)-PL,kʼʷidaˁrqʼˁɪˁ,,,,,,,,,,,,,,itsari
2001,167,86,,86,,sg,,,,хаттай,χatːaj,R(grandfather),χatːaj,"дедушка, тесть, свёкор","grandfather, father-in-law",,,,,,,,,,,,itsari
2002,168,86,,86,,pl,aux,,,хаттайти,χatːaj-ti,R(grandfather)-PL,χatːajtʰi,,,,,,,,,,,,,,itsari
2003,169,87,86,87,,sg,,,,хаттай,χatːaj,R(grandfather),χatːaj,"дедушка, тесть, свёкор","grandfather, father-in-law",,,,,,,,,,,,itsari
2004,170,87,86,87,,pl,aux,,,хаттайти,χatːaj-ti,R(grandfather)-PL,χatːajtʰi,,,,,,,,,,,,,,itsari
2005,171,88,,88,,sg,,,,хабай,χabaj,R(grandmother),χabaj,"бабушка, тёща, свекровь","grandmother, mother-in-law",,,,,,,,,,,,itsari
2006,172,88,,88,,pl,aux,,,хабайти,χabaj-ti,R(grandmother)-PL,χabajtʰi,,,,,,,,,,,,,,itsari
2007,173,89,88,89,,sg,,,,хабай,χabaj,R(grandmother),χabaj,"бабушка, тёща, свекровь","grandmother, mother-in-law",,,,,,,,,,,,itsari
2008,174,89,88,89,,pl,aux,,,хабайти,χabaj-ti,R(grandmother)-PL,χabajtʰi,,,,,,,,,,,,,,itsari
2009,175,90,,90,,sg,,,,дёрхӀёла дёрхӀё,duˁrħuˁ-la duˁrħuˁ,R(son)-GEN R(son),duˁrħuˁla duˁrħuˁ,,,,,,,,,,,,,,itsari
2010,176,90,,90,,pl,aux,,,дёрхӀёла дегьни,duˁrħuˁ-la deh-ni,R(son)-GEN R(son)-PL,duˁrħuˁla dehni,,,,,,,,,,,,,,itsari
2011,177,91,,91,,sg,,,,рирссила дёрхӀё,rirsːi-la duˁrħuˁ,R(daughter)-GEN R(son),rirsːila duˁrħuˁ,,,,,,,,,,,,,,itsari
2012,178,91,,91,,pl,aux,,,рирссила дегьни,rirsːi-la deh-ni,R(daughter)-GEN R(son)-PL,rirsːila dehni,,,,,,,,,,,,,,itsari
2013,179,92,,92,,sg,,,,дёрхӀёла рирсси,duˁrħuˁ-la rirsːi,R(son)-GEN R(daughter),duˁrħuˁla rirsːi,,,,,,,,,,,,,,itsari
2014,180,92,,92,,pl,aux,,,дёрхӀёла рирсби,duˁrħuˁ-la rirs-bi,R(son)-GEN R(daughter)-PL,duˁrħuˁla rirsbi,,,,,,,,,,,,,,itsari
2015,181,93,,93,,sg,,,,рирссила рирсси,rirsːi-la rirsːi,R(daughter)-GEN R(daughter),rirsːila rirsːi,,,,,,,,,,,,,,itsari
2016,182,93,,93,,pl,aux,,,рирссила рирсби,rirsːi-la rirs-bi,R(daughter)-GEN R(daughter)-PL,rirsːila rirs-bi,,,,,,,,,,,,,,itsari
2017,183,94,,94,,sg,,,,ацци,acːi,R(uncle),ʔat͡sːi,,,,,,,,,,,,,,itsari
2018,184,94,,94,,pl,aux,,,аццби,acː-bi,R(uncle)-PL,ʔat͡sːbi,,,,,,,,,,,,,,itsari
2019,185,95,94,95,,sg,,,,ацци,acːi,R(uncle),ʔat͡sːi,,,,,,,,,,,,,,itsari
2020,186,95,94,95,,pl,aux,,,аццби,acː-bi,R(uncle)-PL,ʔat͡sːbi,,,,,,,,,,,,,,itsari
2021,187,96,,96,,sg,,,,азай,azaj,R(aunt),ʔazaj,,,,,,,,,,,,,,itsari
2022,188,96,,96,,pl,aux,,,азайти,azaj-ti,R(aunt)-PL,ʔazajtʰi,,,,,,,,,,,,,,itsari
2023,189,97,96,97,,sg,,,,азай,azaj,R(aunt),ʔazaj,,,,,,,,,,,,,,itsari
2024,190,97,96,97,,pl,aux,,,азайти,azaj-ti,R(aunt)-PL,ʔazajtʰi,,,,,,,,,,,,,,itsari
2025,191,98,,98,,sg,,,,хъини,qini,R(nephew),q͡χʰini,"племянник, племянница","nephew, niece",,,,,,,,,,,,itsari
2026,192,98,,98,,pl,aux,,,хъинпи,qin-pi,R(nephew)-PL,q͡χʰinpʰi,,,,,,,,,,,,,,itsari
2027,193,99,98,99,,sg,,,,хъини,qini,R(nephew),q͡χʰini,"племянник, племянница","nephew, niece",,,,,,,,,,,,itsari
2028,194,99,98,99,,pl,aux,,,хъинпи,qin-pi,R(nephew)-PL,q͡χʰinpʰi,,,,,,,,,,,,,,itsari
2029,195,100,98,100,,sg,,,,хъини,qini,R(nephew),q͡χʰini,"племянник, племянница","nephew, niece",,,,,,,,,,,,itsari
2030,196,100,98,100,,pl,aux,,,хъинпи,qin-pi,R(nephew)-PL,q͡χʰinpʰi,,,,,,,,,,,,,,itsari
2031,197,101,98,101,,sg,,,,хъини,qini,R(nephew),q͡χʰini,"племянник, племянница","nephew, niece",,,,,,,,,,,,itsari
2032,198,101,98,101,,pl,aux,,,хъинпи,qin-pi,R(nephew)-PL,q͡χʰinpʰi,,,,,,,,,,,,,,itsari
2033,199,102,,102,,sg,,,,?,,,,,,,,,,,,,,,,,itsari
2034,200,102,,102,,pl,aux,,,?,,,,,,,,,,,,,,,,,itsari
2035,201,103,,103,,sg,,,,?,,,,,,,,,,,,,,,,,itsari
2036,202,103,,103,,pl,aux,,,?,,,,,,,,,,,,,,,,,itsari
2037,203,104,86,104,,sg,,,,хаттай,χatːaj,R(grandfather),χatːaj,"дедушка, тесть, свёкор","grandfather, father-in-law",,,,,,,,,,,,itsari
2038,204,104,86,104,,pl,aux,,,хаттайти,χatːaj-ti,R(grandfather)-PL,χatːajtʰi,,,,,,,,,,,,,,itsari
2039,205,105,86,105,,sg,,,,хаттай,χatːaj,R(grandfather),χatːaj,"дедушка, тесть, свёкор","grandfather, father-in-law",,,,,,,,,,,,itsari
2040,206,105,86,105,,pl,aux,,,хаттайти,χatːaj-ti,R(grandfather)-PL,χatːajtʰi,,,,,,,,,,,,,,itsari
2041,207,106,88,106,,sg,,,,хабай,χabaj,R(grandmother),χabaj,"бабушка, тёща, свекровь","grandmother, mother-in-law",,,,,,,,,,,,itsari
2042,208,106,88,106,,pl,aux,,,хабайти,χabaj-ti,R(grandmother)-PL,χabajtʰi,,,,,,,,,,,,,,itsari
2043,209,107,88,107,,sg,,,,хабай,χabaj,R(grandmother),χabaj,"бабушка, тёща, свекровь","grandmother, mother-in-law",,,,,,,,,,,,itsari
2044,210,107,88,107,,pl,aux,,,хабайти,χabaj-ti,R(grandmother)-PL,χabajtʰi,,,,,,,,,,,,,,itsari
2045,211,108,,108,,sg,,,,нуца,nuca,R(son-in-law),nut͡sʰa,,,,,,,,,,,,,,itsari
2046,212,108,,108,,pl,aux,,,нуциппи,nuc-ipːi,R(son-in-law)-PL,nut͡sʰipːi,,,,,,,,,,,,,,itsari
2047,213,109,,109,,sg,,,,дёрхӀёла хьхьунул,duˁrħuˁ-la xːunul,R(son)-GEN R(wife),duˁrħuˁla xːunul,,,,,,,,,,,,,,itsari
2048,214,109,,109,,pl,aux,,,дёрхӀёла хьхьунри,duˁrħuˁ-la xːunri,R(son)-GEN R(wife)-PL,duˁrħuˁla xːunri,,,,,,,,,,,,,,itsari
2049,215,110,109,110,,sg,,,,дёрхӀёла хьхьунул,duˁrħuˁ-la xːunul,R(son)-GEN R(wife),duˁrħuˁla xːunul,,,,,,,,,,,,,,itsari
2050,216,110,109,110,,pl,aux,,,дёрхӀёла хьхьунри,duˁrħuˁ-la xːunri,R(son)-GEN R(wife)-PL,duˁrħuˁla xːunri,,,,,,,,,,,,,,itsari
2051,217,111,,111,,sg,,opt,,ххёл ттатти,χːuˁl tːatːi,R(guest) R(father),χːuˁl tːatːi,,,,,,,,,,,,,,itsari
2052,218,111,,111,,pl,aux,opt,,ххёл ттаттби,χːuˁl tːatːbi,R(guest) R(father)-PL,χːuˁl tːatːbi,,,,,,,,,,,,,,itsari
2053,219,112,,112,,sg,,opt,,ххёл ваба,χːuˁl waba,R(guest) R(mother),χːuˁl waba,,,,,,,,,,,,,,itsari
2054,220,112,,112,,pl,aux,opt,,ххёл вабни,χːuˁl wab-ni,R(guest) R(mother)-PL,χːuˁl wabni,,,,,,,,,,,,,,itsari
2055,221,113,,113,,sg,,opt,,ххёл дёрхӀё,χːuˁl duˁrħuˁ,R(guest) R(son),χːuˁl duˁrħuˁ,,,,,,,,,,,,,,itsari
2056,222,113,,113,,pl,aux,opt,,ххёл дегьни,χːuˁl deh-ni,R(guest) R(son)-PL,χːuˁl dehni,,,,,,,,,,,,,,itsari
2057,223,114,,114,,sg,,opt,,ххёл рирсси,χːuˁl rirsːi,R(guest) R(daughter),χːuˁl rirsːi,,,,,,,,,,,,,,itsari
2058,224,114,,114,,pl,aux,opt,,ххёл рирсби,χːuˁl rirs-bi,R(guest) R(daughter)-PL,χːuˁl rirsbi,,,,,,,,,,,,,,itsari
2059,225,115,,115,,sg,,,,йатӀим,jatʼim,R(orphan),jatʼim,,,,,,,,,,,,,,itsari
2060,226,115,,115,,pl,aux,,,?,,,,,,,,,,,,,,,,,itsari
2061,227,116,,116,,sg,,,,ккама,kːama,R(widow),kːama,,,,,,,,,,,,,,itsari
2062,228,116,,116,,pl,aux,,,?,,,,,,,,,,,,,,,,,itsari
2063,229,117,116,117,,sg,,,,ккама,kːama,R(widow),kːama,,,,,,,,,,,,,,itsari
2064,230,117,116,117,,pl,aux,,,?,,,,,,,,,,,,,,,,,itsari
2065,231,118,,118,,sg,,,,кулпат,kulpat,R(family),kʰulpʰatʰ,,,,,,,,,,,,,,itsari
2066,232,118,,118,,pl,aux,,,кулпати,kulpat-i,R(family)-PL,kʰulpʰatʰi,,,,,,,,,,,,,,itsari
2067,233,119,,119,,sg,,,,рукь,ruqʼ,R(clan),ruqʼ,род по отцовской линии,clan based on father’s lineage,,,,,,,,,,,,itsari
2068,234,119,,119,,pl,aux,,,?,,,,,,,,,,,,,,,,,itsari
2069,235,120,,120,,nom,,,,ду,du,R(I),du,,,,,,,,,,,,,,itsari
2070,236,120,,120,,obl,aux,,,дул,du-l,R(I)-ERG,dul,,,,,,,,,,,,,,itsari
2071,237,121,,121,,nom,,,,у,u,R(thou),ʔu,,,,,,,,,,,,,,itsari
2072,238,121,,121,,obl,aux,,,ул,u-l,R(thou)-ERG,ʔul,,,,,,,,,,,,,,itsari
2073,239,122,,122,,,,,,иж,iž,R(this),ʔiʒ,,,,,,,,,,,,,,itsari
2074,240,123,,123,,,,,,ил,il,R(that),ʔil,,,,,,,,,,,,,,itsari
2075,241,124,,124,,,,,,ит,it,R(that),,,,,,,,,,,,,,,itsari
2076,242,125,,125,,nom,,,,нушша,nušːa,R(we),nuʃːa,"мы, вы","we, you (pl.)",,,,,,,,,,,,itsari
2077,243,125,,125,,obl,aux,,,нушшал,nušːa-l,R(we)-ERG,nuʃːal,,,,,,,,,,,,,,itsari
2078,244,126,125,126,,nom,,,,нушша,nušːa,R(we),nuʃːa,"мы, вы","we, you (pl.)",,,,,,,,,,,,itsari
